Month,restaurants
2004-01,28
2004-02,36
2004-03,26
2004-04,28
2004-05,28
2004-06,28
2004-07,30
2004-08,28
2004-09,25
2004-10,28
2004-11,28
2004-12,29
2005-01,28
2005-02,31
2005-03,30
2005-04,30
2005-05,31
2005-06,30
2005-07,31
2005-08,31
2005-09,27
2005-10,29
2005-11,25
2005-12,30
2006-01,28
2006-02,32
2006-03,29
2006-04,30
2006-05,32
2006-06,30
2006-07,32
2006-08,30
2006-09,30
2006-10,29
2006-11,28
2006-12,30
2007-01,29
2007-02,32
2007-03,31
2007-04,31
2007-05,30
2007-06,33
2007-07,33
2007-08,32
2007-09,30
2007-10,29
2007-11,31
2007-12,30
2008-01,29
2008-02,33
2008-03,31
2008-04,29
2008-05,30
2008-06,30
2008-07,30
2008-08,30
2008-09,28
2008-10,29
2008-11,28
2008-12,30
2009-01,30
2009-02,34
2009-03,29
2009-04,29
2009-05,31
2009-06,34
2009-07,34
2009-08,34
2009-09,31
2009-10,30
2009-11,31
2009-12,32
2010-01,32
2010-02,34
2010-03,34
2010-04,32
2010-05,35
2010-06,35
2010-07,38
2010-08,35
2010-09,33
2010-10,32
2010-11,33
2010-12,34
2011-01,36
2011-02,42
2011-03,40
2011-04,39
2011-05,42
2011-06,51
2011-07,59
2011-08,53
2011-09,50
2011-10,49
2011-11,48
2011-12,53
2012-01,51
2012-02,54
2012-03,53
2012-04,50
2012-05,50
2012-06,59
2012-07,60
2012-08,59
2012-09,52
2012-10,48
2012-11,47
2012-12,49
2013-01,48
2013-02,51
2013-03,53
2013-04,48
2013-05,52
2013-06,56
2013-07,55
2013-08,50
2013-09,43
2013-10,41
2013-11,45
2013-12,44
2014-01,42
2014-02,45
2014-03,45
2014-04,45
2014-05,48
2014-06,49
2014-07,53
2014-08,52
2014-09,42
2014-10,42
2014-11,45
2014-12,46
2015-01,43
2015-02,47
2015-03,48
2015-04,49
2015-05,53
2015-06,56
2015-07,65
2015-08,56
2015-09,52
2015-10,50
2015-11,47
2015-12,51
2016-01,50
2016-02,54
2016-03,55
2016-04,58
2016-05,60
2016-06,63
2016-07,72
2016-08,62
2016-09,56
2016-10,54
2016-11,51
2016-12,58
2017-01,52
2017-02,62
2017-03,62
2017-04,66
2017-05,64
2017-06,74
2017-07,80
2017-08,67
2017-09,62
2017-10,59
2017-11,61
2017-12,68
2018-01,60
2018-02,68
2018-03,68
2018-04,69
2018-05,73
2018-06,81
2018-07,88
2018-08,73
2018-09,67
2018-10,68
2018-11,66
2018-12,74
2019-01,66
2019-02,68
2019-03,77
2019-04,71
2019-05,77
2019-06,82
2019-07,86
2019-08,77
2019-09,68
2019-10,67
2019-11,68
2019-12,71
2020-01,68
2020-02,72
2020-03,52
2020-04,30
2020-05,48
2020-06,64
2020-07,64
2020-08,67
2020-09,61
2020-10,65
2020-11,53
2020-12,57
2021-01,58
2021-02,65
2021-03,74
2021-04,79
2021-05,86
2021-06,93
2021-07,100
2021-08,84
2021-09,79
2021-10,78
2021-11,71
2021-12,73
2022-01,66
2022-02,82
2022-03,82
2022-04,79
2022-05,77
2022-06,81
2022-07,87
2022-08,78
2022-09,70
2022-10,70
2022-11,63
2022-12,70
2023-01,69
2023-02,72
2023-03,70
2023-04,73
2023-05,74
2023-06,83
2023-07,84
2023-08,70
2023-09,67
2023-10,65
2023-11,61
2023-12,66
2024-01,55
2024-02,59
2024-03,63
2024-04,58
2024-05,61
2024-06,65
2024-07,66
2024-08,60
2024-09,53
2024-10,52
2024-11,55
2024-12,58
2025-01,46
2025-02,56
2025-03,54
2025-04,52
2025-05,46
