Month,fashion_trends
2004-01,24
2004-02,24
2004-03,27
2004-04,27
2004-05,25
2004-06,21
2004-07,22
2004-08,21
2004-09,24
2004-10,26
2004-11,26
2004-12,23
2005-01,28
2005-02,28
2005-03,30
2005-04,29
2005-05,27
2005-06,24
2005-07,24
2005-08,25
2005-09,28
2005-10,27
2005-11,28
2005-12,26
2006-01,30
2006-02,31
2006-03,34
2006-04,34
2006-05,31
2006-06,28
2006-07,29
2006-08,28
2006-09,29
2006-10,32
2006-11,33
2006-12,29
2007-01,32
2007-02,34
2007-03,37
2007-04,38
2007-05,36
2007-06,36
2007-07,35
2007-08,34
2007-09,36
2007-10,35
2007-11,36
2007-12,39
2008-01,38
2008-02,38
2008-03,43
2008-04,42
2008-05,42
2008-06,42
2008-07,42
2008-08,41
2008-09,39
2008-10,41
2008-11,44
2008-12,41
2009-01,46
2009-02,44
2009-03,47
2009-04,50
2009-05,47
2009-06,46
2009-07,44
2009-08,43
2009-09,42
2009-10,48
2009-11,46
2009-12,43
2010-01,44
2010-02,46
2010-03,48
2010-04,51
2010-05,47
2010-06,46
2010-07,45
2010-08,42
2010-09,46
2010-10,43
2010-11,38
2010-12,38
2011-01,47
2011-02,50
2011-03,49
2011-04,62
2011-05,53
2011-06,46
2011-07,48
2011-08,49
2011-09,47
2011-10,48
2011-11,45
2011-12,46
2012-01,48
2012-02,52
2012-03,51
2012-04,56
2012-05,48
2012-06,50
2012-07,53
2012-08,47
2012-09,50
2012-10,49
2012-11,44
2012-12,44
2013-01,50
2013-02,53
2013-03,56
2013-04,51
2013-05,52
2013-06,48
2013-07,49
2013-08,46
2013-09,48
2013-10,46
2013-11,46
2013-12,46
2014-01,49
2014-02,50
2014-03,53
2014-04,56
2014-05,57
2014-06,57
2014-07,50
2014-08,48
2014-09,54
2014-10,50
2014-11,45
2014-12,45
2015-01,48
2015-02,100
2015-03,69
2015-04,57
2015-05,56
2015-06,48
2015-07,48
2015-08,52
2015-09,52
2015-10,52
2015-11,46
2015-12,45
2016-01,52
2016-02,57
2016-03,58
2016-04,60
2016-05,55
2016-06,52
2016-07,51
2016-08,51
2016-09,57
2016-10,58
2016-11,51
2016-12,45
2017-01,53
2017-02,55
2017-03,57
2017-04,65
2017-05,59
2017-06,53
2017-07,53
2017-08,52
2017-09,56
2017-10,55
2017-11,53
2017-12,46
2018-01,52
2018-02,55
2018-03,60
2018-04,60
2018-05,75
2018-06,54
2018-07,55
2018-08,51
2018-09,55
2018-10,54
2018-11,48
2018-12,48
2019-01,50
2019-02,55
2019-03,58
2019-04,60
2019-05,60
2019-06,50
2019-07,52
2019-08,52
2019-09,59
2019-10,54
2019-11,54
2019-12,46
2020-01,53
2020-02,53
2020-03,38
2020-04,29
2020-05,36
2020-06,38
2020-07,41
2020-08,42
2020-09,42
2020-10,43
2020-11,35
2020-12,34
2021-01,41
2021-02,41
2021-03,50
2021-04,57
2021-05,61
2021-06,56
2021-07,56
2021-08,56
2021-09,65
2021-10,65
2021-11,55
2021-12,51
2022-01,56
2022-02,63
2022-03,71
2022-04,74
2022-05,71
2022-06,63
2022-07,63
2022-08,64
2022-09,63
2022-10,63
2022-11,55
2022-12,52
2023-01,56
2023-02,62
2023-03,69
2023-04,73
2023-05,68
2023-06,63
2023-07,62
2023-08,62
2023-09,68
2023-10,62
2023-11,54
2023-12,53
2024-01,60
2024-02,65
2024-03,74
2024-04,76
2024-05,77
2024-06,75
2024-07,71
2024-08,75
2024-09,78
2024-10,73
2024-11,61
2024-12,61
2025-01,62
2025-02,69
2025-03,77
2025-04,78
2025-05,84
